127	0
126	0
125	124
124	0
123	120
122	120
121	120
120	0
119	112
118	112
117	116
116	112
115	112
114	112
113	112
112	0
111	96
110	96
109	108
108	96
107	104
106	104
105	104
104	96
103	96
102	96
101	100
100	96
99	96
98	96
97	96
96	0
95	64
94	64
93	92
92	64
91	88
90	88
89	88
88	64
87	80
86	80
85	84
84	80
83	80
82	80
81	80
80	64
79	64
78	64
77	76
76	64
75	72
74	72
73	72
72	64
71	64
70	64
69	68
68	64
67	64
66	64
65	64
64	0
63	0
62	0
61	60
60	0
59	56
58	56
57	56
56	0
55	48
54	48
53	52
52	48
51	48
50	48
49	48
48	0
47	32
46	32
45	44
44	32
43	40
42	40
41	40
40	32
39	32
38	32
37	36
36	32
35	32
34	32
33	32
32	0
31	0
30	0
29	28
28	0
27	24
26	24
25	24
24	0
23	16
22	16
21	20
20	16
19	16
18	16
17	16
16	0
15	0
14	0
13	12
12	0
11	8
10	8
9	8
8	0
7	0
6	0
5	4
4	0
3	0
2	0
1	0
