-64	-43
-63	-42
-62	-41
-61	-40
-60	-39
-59	-38
-58	-37
-57	-36
-56	-35
-55	-34
-54	-33
-53	-32
-52	-31
-51	-30
-50	-29
-49	-28
-48	-27
-47	-26
-46	-25
-45	-24
-44	-23
-43	-22
-42	-21
-41	-20
-40	-19
-39	-18
-38	-17
-37	-16
-36	-15
-35	-14
-34	-13
-33	-12
-32	-11
-31	-10
-30	-9
-29	-8
-28	-7
-27	-6
-26	-5
-25	-4
-24	-3
-23	-2
-22	-1
-21	0
-20	1
-19	2
-18	3
-17	4
-16	5
-15	6
-14	7
-13	8
-12	9
-11	10
-10	11
-9	12
-8	13
-7	14
-6	15
-5	16
-4	17
-3	18
-2	19
-1	20
0	21
1	22
2	23
3	24
4	25
5	26
6	27
7	28
8	29
9	30
10	31
11	32
12	33
13	34
14	35
15	36
16	37
17	38
18	39
19	40
20	41
21	42
22	43
23	44
24	45
25	46
26	47
27	48
28	49
29	50
30	51
31	52
32	53
33	54
34	55
35	56
36	57
37	58
38	59
39	60
40	61
41	62
42	63
43	64
44	65
45	66
46	67
47	68
48	69
49	70
50	71
51	72
52	73
53	74
54	75
55	76
56	77
57	78
58	79
59	80
60	81
61	82
62	83
63	84
